scripCode,tickSize,instType,lotSize,companyName,indices,groupName,industry,isinCode,expiry,strike,multiplier,optionType,tradingSymbol
323,0.0,,0,,,,,,0,0.0,0.0,FUT,MCX
324,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXMETAL
325,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXENERGY
326,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXAGRI
327,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXSCOMDEX
328,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXSMETAL
329,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXSENERGY
330,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXSAGRI
567,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXCOMPDEX
568,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXBULLDEX
569,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXMETLDEX
572,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXGOLDEX
573,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXSILVDEX
575,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXCOPRDEX
579,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXCRUDEX
3211,0.0,,0,,,,,,0,0.0,0.0,FUT,MCXBULLION
252898,50.0,FS,4,,,,,,29/02/2024,0.0,50.0,FUT,KAPAS
254350,100.0,FS,30,,,,,,05/03/2024,0.0,1.0,FUT,SILVER
254351,100.0,FS,5,,,,,,29/02/2024,0.0,1.0,FUT,SILVERM
255316,50.0,FS,4,,,,,,30/04/2024,0.0,50.0,FUT,KAPAS
256171,100.0,FS,1,,,,,,05/04/2024,0.0,100.0,FUT,GOLD
256173,50.0,OS,1,,,,,,26/03/2024,60200.0,100.0,CE,GOLD
256174,50.0,OS,1,,,,,,26/03/2024,60200.0,100.0,PE,GOLD
256175,50.0,OS,1,,,,,,26/03/2024,60300.0,100.0,CE,GOLD
256176,50.0,OS,1,,,,,,26/03/2024,60300.0,100.0,PE,GOLD
256177,50.0,OS,1,,,,,,26/03/2024,60400.0,100.0,CE,GOLD
256178,50.0,OS,1,,,,,,26/03/2024,60400.0,100.0,PE,GOLD
256179,50.0,OS,1,,,,,,26/03/2024,60500.0,100.0,CE,GOLD
256180,50.0,OS,1,,,,,,26/03/2024,60500.0,100.0,PE,GOLD
